,Equity,Day,Buy/Sell,Stock,Profit/Loss,Amount,
82,1247121.2,28-07-2016,Sell,APCOTEXIND.NS,Profit,247121.2002,35
83,1000000,03-08-2017,Buy,BEPL.NS,Nill,0,0
84,1225516.759,12-09-2017,Sell,BEPL.NS,Profit,225516.7588,40
85,1000000,14-07-2016,Buy,VETO.NS,Nill,0,0
86,890095.234,29-08-2016,Sell,VETO.NS,Loss,109904.766,46
87,1000000,14-11-2014,Buy,FIEMIND.NS,Nill,0,0
88,1205434.334,02-01-2015,Sell,FIEMIND.NS,Profit,205434.3337,49
89,1205434.334,02-01-2015,Buy,FIEMIND.NS,Nill,0,0
90,1096163.192,16-02-2015,Sell,FIEMIND.NS,Loss,109271.142,45
91,1000000,14-02-2014,Buy,VAIBHAVGBL.NS,Nill,0,0
92,893592.5,24-03-2014,Sell,VAIBHAVGBL.NS,Loss,106407.5,38
93,893592.5,02-05-2014,Buy,VAIBHAVGBL.NS,Nill,0,0
94,799010.7969,04-06-2014,Sell,VAIBHAVGBL.NS,Loss,94581.70313,33
95,799010.7969,06-07-2020,Buy,VAIBHAVGBL.NS,Nill,0,0
96,1013429.112,04-08-2020,Sell,VAIBHAVGBL.NS,Profit,214418.3153,29
97,1000000,31-03-2015,Buy,SHILPAMED.NS,Nill,0,0
98,880981.375,24-04-2015,Sell,SHILPAMED.NS,Loss,119018.625,24
99,1000000,11-09-2017,Buy,TIMETECHNO.NS,Nill,0,0
100,894460,06-02-2018,Sell,TIMETECHNO.NS,Loss,105540,148
101,1000000,03-11-2020,Buy,VIDHIING.NS,Nill,0,0
102,908284.25,25-11-2020,Sell,VIDHIING.NS,Loss,91715.75,22
103,1000000,07-11-2016,Buy,PITTIENG.NS,Nill,0,0
104,909470.0373,11-11-2016,Sell,PITTIENG.NS,Loss,90529.96267,4
105,909470.0373,09-03-2017,Buy,PITTIENG.NS,Nill,0,0
106,811075.2175,23-05-2017,Sell,PITTIENG.NS,Loss,98394.81983,75
107,811075.2175,15-01-2018,Buy,PITTIENG.NS,Nill,0,0
108,717877.1885,19-01-2018,Sell,PITTIENG.NS,Loss,93198.02902,4
109,1000000,01-02-2017,Buy,IFGLEXPOR.NS,Nill,0,0
110,1258816.553,10-04-2017,Sell,IFGLEXPOR.NS,Profit,258816.5527,68
111,1000000,10-05-2017,Buy,CORDSCABLE.NS,Nill,0,0
112,887174.0842,22-05-2017,Sell,CORDSCABLE.NS,Loss,112825.9158,12
113,1000000,06-07-2015,Buy,DEEPENR.NS,Nill,0,0
114,1365966.929,17-07-2015,Sell,DEEPENR.NS,Profit,365966.9289,11
115,1365966.929,09-11-2015,Buy,DEEPENR.NS,Nill,0,0
116,1261252.929,04-01-2016,Sell,DEEPENR.NS,Loss,104714,56
117,1000000,23-12-2016,Buy,ENGINERSIN.NS,Nill,0,0
118,903869.8811,20-01-2017,Sell,ENGINERSIN.NS,Loss,96130.11887,28
119,1000000,21-06-2017,Buy,NAVNETEDUL.NS,Nill,0,0
120,909566.75,28-06-2017,Sell,NAVNETEDUL.NS,Loss,90433.25,7
121,1000000,29-12-2015,Buy,RUCHIRA.NS,Nill,0,0
122,893057.7643,14-01-2016,Sell,RUCHIRA.NS,Loss,106942.2357,16
123,1000000,25-03-2014,Buy,KOLTEPATIL.NS,Nill,0,0
124,1208304.851,19-05-2014,Sell,KOLTEPATIL.NS,Profit,208304.8506,55
125,1000000,07-06-2021,Buy,NFL.NS,Nill,0,0
126,1000000,15-05-2017,Buy,TAJGVK.NS,Nill,0,0
127,895417,23-05-2017,Sell,TAJGVK.NS,Loss,104583,8
128,1000000,01-09-2017,Buy,GABRIEL.NS,Nill,0,0
129,1201636.348,12-09-2017,Sell,GABRIEL.NS,Profit,201636.3478,11
130,1000000,17-10-2017,Buy,SUNTECK.NS,Nill,0,0
131,1213210,17-11-2017,Sell,SUNTECK.NS,Profit,213210,31
132,1000000,02-09-2014,Buy,FINPIPE.NS,Nill,0,0
133,910562.465,12-12-2014,Sell,FINPIPE.NS,Loss,89437.53503,101
134,910562.465,22-02-2017,Buy,FINPIPE.NS,Nill,0,0
135,1116591.211,02-06-2017,Sell,FINPIPE.NS,Profit,206028.7461,100
136,1000000,03-01-2018,Buy,JMCPROJECT.NS,Nill,0,0
137,898415.4617,25-01-2018,Sell,JMCPROJECT.NS,Loss,101584.5383,22
138,898415.4617,18-04-2019,Buy,JMCPROJECT.NS,Nill,0,0
139,1131681.962,27-05-2019,Sell,JMCPROJECT.NS,Profit,233266.5,39
140,1000000,30-04-2013,Buy,DEN.NS,Nill,0,0
141,907463.7638,10-06-2013,Sell,DEN.NS,Loss,92536.23619,41
142,1000000,28-10-2015,Buy,PCJEWELLER.NS,Nill,0,0
143,891120.9899,26-11-2015,Sell,PCJEWELLER.NS,Loss,108879.0101,29
144,1000000,09-03-2015,Buy,TRITURBINE.NS,Nill,0,0
145,899047.6636,24-04-2015,Sell,TRITURBINE.NS,Loss,100952.3364,46
146,1000000,08-09-2015,Buy,JINDALPOLY.NS,Nill,0,0
147,1201619.232,21-09-2015,Sell,JINDALPOLY.NS,Profit,201619.2322,13
148,1000000,26-04-2017,Buy,GUFICBIO.NS,Nill,0,0
149,1201298.456,25-09-2017,Sell,GUFICBIO.NS,Profit,201298.456,152
150,1000000,09-05-2017,Buy,WELENT.NS,Nill,0,0
151,895435.4019,23-05-2017,Sell,WELENT.NS,Loss,104564.5981,14
152,1000000,29-04-2021,Buy,TATAMETALI.NS,Nill,0,0
153,1359085.86,03-05-2021,Sell,TATAMETALI.NS,Profit,359085.8602,4
154,1000000,27-10-2016,Buy,DCAL.NS,Nill,0,0
155,900808,16-12-2016,Sell,DCAL.NS,Loss,99192,50
156,1000000,10-12-2014,Buy,KABRAEXTRU.NS,Nill,0,0
157,887639.5363,23-03-2015,Sell,KABRAEXTRU.NS,Loss,112360.4637,103
158,1000000,14-05-2014,Buy,SUVEN.NS,Nill,0,0
159,1249857.117,03-07-2014,Sell,SUVEN.NS,Profit,249857.1174,50
160,1000000,11-02-2015,Buy,MIRZAINT.NS,Nill,0,0
161,1243026.107,19-02-2015,Sell,MIRZAINT.NS,Profit,243026.1075,8
162,1000000,27-01-2015,Buy,ASHIANA.NS,Nill,0,0
163,1357560.932,23-02-2015,Sell,ASHIANA.NS,Profit,357560.9324,27
164,1000000,27-02-2015,Buy,IGARASHI.NS,Nill,0,0
