,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,0.5596330275229358,2019-01-01 00:00:00+05:30,SRF,IDEA,NMDC,INDUSINDBK,ZEEL
1,0.2408759124087591,2019-01-04 09:15:00+05:30,PAGEIND,MINDTREE,MPHASIS,JUBLFOOD,JINDALSTEL
2,0.5740740740740741,2019-01-09 09:15:00+05:30,BANDHANBNK,JINDALSTEL,TATASTEEL,SAIL,CANFINHOME
3,0.3821138211382114,2019-01-11 09:15:00+05:30,ASTRAL,IDEA,GLENMARK,CANFINHOME,MPHASIS
4,0.3709677419354839,2019-01-14 09:15:00+05:30,SHREECEM,EXIDEIND,GAIL,ALKEM,M&MFIN
5,0.3821138211382114,2019-01-18 09:15:00+05:30,LTTS,LALPATHLAB,NAUKRI,GLENMARK,MPHASIS
6,0.6831683168316832,2019-01-22 09:15:00+05:30,ABFRL,ASTRAL,TVSMOTOR,AUBANK,AARTIIND
7,0.6190476190476191,2019-01-23 09:15:00+05:30,ICICIPRULI,HDFCLIFE,SYNGENE,APLLTD,CANFINHOME
8,0.7708333333333334,2019-01-24 09:15:00+05:30,IDEA,INDUSTOWER,NAUKRI,PEL,SIEMENS
9,0.8085106382978723,2019-01-25 09:15:00+05:30,DLF,DEEPAKNTR,ULTRACEMCO,M&MFIN,ZEEL
10,0.2318840579710145,2019-01-28 09:15:00+05:30,ADANIPORTS,IDEA,IBULHSGFIN,PEL,LALPATHLAB
11,0.6037735849056604,2019-01-30 09:15:00+05:30,PEL,IBULHSGFIN,HCLTECH,BANKBARODA,JSWSTEEL
12,0.4655172413793103,2019-01-31 09:15:00+05:30,L&TFH,JINDALSTEL,IDEA,ZEEL,DLF
13,0.5887850467289719,2019-02-05 09:15:00+05:30,IBULHSGFIN,STAR,JUBLFOOD,UBL,TATACONSUM
14,0.5178571428571429,2019-02-06 09:15:00+05:30,AARTIIND,DLF,NAM-INDIA,IDFCFIRSTB,STAR
15,0.6037735849056604,2019-02-08 09:15:00+05:30,IBULHSGFIN,MOTHERSUMI,GUJGASLTD,MRF,SAIL
16,0.3821138211382114,2019-02-11 09:15:00+05:30,APOLLOHOSP,GMRINFRA,HAVELLS,PEL,ICICIPRULI
17,0.4285714285714285,2019-02-12 09:15:00+05:30,MGL,APOLLOHOSP,AARTIIND,IGL,DRREDDY
18,0.4782608695652174,2019-02-13 09:15:00+05:30,ZEEL,AUROPHARMA,STAR,AARTIIND,NAM-INDIA
19,0.6504854368932039,2019-02-15 09:15:00+05:30,DRREDDY,PAGEIND,CADILAHC,GLENMARK,UBL
20,0.4655172413793103,2019-02-18 09:15:00+05:30,APOLLOHOSP,NAUKRI,MINDTREE,GODREJCP,ASTRAL
21,0.6504854368932039,2019-02-25 09:15:00+05:30,NAM-INDIA,IBULHSGFIN,MCDOWELL-N,CANFINHOME,TATAMOTORS
22,0.2318840579710145,2019-02-26 09:15:00+05:30,IDEA,MCX,GRANULES,TATAPOWER,INDUSTOWER
23,0.6346153846153846,2019-02-28 09:15:00+05:30,CUMMINSIND,BHARTIARTL,NESTLEIND,IGL,ABFRL
