,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
52,0.426229508,2021-01-11 09:15:00+05:30,NATIONALUM,SAIL,DIXON,RBLBANK,BANDHANBNK
53,0.37007874,2021-01-13 09:15:00+05:30,INDIAMART,ASHOKLEY,TATAMOTORS,BANDHANBNK,IDFCFIRSTB
54,0.673076923,2021-01-14 09:15:00+05:30,TVSMOTOR,LTI,TATACHEM,JSWSTEEL,MOTHERSUMI
55,0.288888889,2021-01-15 09:15:00+05:30,SRTRANSFIN,MOTHERSUMI,GODREJPROP,LTI,LTTS
56,0.115384615,2021-01-18 09:15:00+05:30,TATAMOTORS,BHEL,M&MFIN,SAIL,GAIL
57,0.689320388,2021-01-20 09:15:00+05:30,L&TFH,BANDHANBNK,ICICIGI,BEL,MOTHERSUMI
58,0.757575758,2021-01-21 09:15:00+05:30,ABFRL,CHOLAFIN,APLLTD,GODREJPROP,ASTRAL
59,0.288888889,2021-01-25 09:15:00+05:30,NAUKRI,APOLLOTYRE,RBLBANK,TATAMOTORS,ASHOKLEY
60,0.392,2021-01-29 09:15:00+05:30,RBLBANK,NAUKRI,HAVELLS,M&MFIN,INDUSTOWER
61,0.641509434,2021-02-02 09:15:00+05:30,TATACONSUM,COROMANDEL,NATIONALUM,MCDOWELL-N,INDIGO
62,0.2,2021-02-05 09:15:00+05:30,ZEEL,APOLLOTYRE,BANKBARODA,SAIL,NATIONALUM
63,0.242857143,2021-02-10 09:15:00+05:30,GUJGASLTD,BERGEPAINT,JINDALSTEL,UBL,BANDHANBNK
64,0.5,2021-02-12 09:15:00+05:30,IEX,ITC,PETRONET,SUNTV,DIXON
65,0.526315789,2021-02-22 09:15:00+05:30,BHARATFORG,CHOLAFIN,BOSCHLTD,AUROPHARMA,LTTS
66,0.757575758,2021-02-25 09:15:00+05:30,MFSL,CONCOR,ABFRL,MPHASIS,ALKEM
67,0.775510204,2021-03-05 09:15:00+05:30,MINDTREE,PVR,L&TFH,APOLLOTYRE,VOLTAS
68,0.611111111,2021-03-09 09:15:00+05:30,MOTHERSUMI,INDUSINDBK,NAUKRI,STAR,CUMMINSIND
69,0.775510204,2021-03-10 09:15:00+05:30,AUBANK,HDFCLIFE,GODREJPROP,HINDPETRO,DEEPAKNTR
70,0.288888889,2021-03-15 09:15:00+05:30,ZEEL,BANDHANBNK,GUJGASLTD,IBULHSGFIN,AXISBANK
71,0.626168224,2021-03-16 09:15:00+05:30,IDEA,MGL,GODREJPROP,IDFCFIRSTB,VOLTAS
72,0.242857143,2021-03-17 09:15:00+05:30,DIXON,MGL,BHEL,COALINDIA,NATIONALUM
73,0.270072993,2021-03-18 09:15:00+05:30,LTTS,MGL,MPHASIS,IGL,GRANULES
74,0.392,2021-03-23 09:15:00+05:30,DIXON,COFORGE,JINDALSTEL,M&MFIN,LTTS
75,0.175675676,2021-03-24 09:15:00+05:30,HINDALCO,ADANIPORTS,INDHOTEL,ADANIENT,IEX
76,0.338461538,2021-03-25 09:15:00+05:30,AUBANK,IDEA,AARTIIND,NAM-INDIA,ASHOKLEY
77,0.101265823,2021-04-05 09:15:00+05:30,IDEA,APOLLOTYRE,CANBK,NATIONALUM,BANKBARODA
78,0.414634146,2021-04-12 09:15:00+05:30,NAM-INDIA,LTTS,CANFINHOME,M&MFIN,COFORGE
79,0.234042553,2021-04-14 09:15:00+05:30,RBLBANK,BHARATFORG,APOLLOTYRE,SHREECEM,CONCOR
80,0.234042553,2021-04-15 09:15:00+05:30,RBLBANK,BHARATFORG,APOLLOTYRE,SHREECEM,CONCOR
81,0.757575758,2021-04-20 09:15:00+05:30,GRASIM,AMBUJACEM,ULTRACEMCO,ACC,SHREECEM
82,0.208333333,2021-04-29 09:15:00+05:30,IDEA,INDIAMART,INDUSTOWER,SYNGENE,L&TFH
83,0.641509434,2021-05-04 09:15:00+05:30,TATACONSUM,SBILIFE,INDIAMART,DEEPAKNTR,ABFRL
84,0.438016529,2021-05-05 09:15:00+05:30,GAIL,AARTIIND,NAUKRI,APOLLOTYRE,ADANIPORTS
85,0.359375,2021-05-06 09:15:00+05:30,TATACHEM,DEEPAKNTR,BANDHANBNK,IBULHSGFIN,LTTS
86,0.513043478,2021-05-07 09:15:00+05:30,NAVINFLUOR,SBILIFE,SRF,HEROMOTOCO,INDIGO
87,0.45,2021-05-12 09:15:00+05:30,BHEL,INDIAMART,ONGC,SAIL,TATAPOWER
88,0.37007874,2021-05-13 09:15:00+05:30,NMDC,ADANIENT,JINDALSTEL,CADILAHC,APOLLOTYRE
89,0.37007874,2021-05-14 09:15:00+05:30,NMDC,ADANIENT,JINDALSTEL,CADILAHC,APOLLOTYRE
90,0.581818182,2021-05-18 09:15:00+05:30,TORNTPHARM,CADILAHC,STAR,COROMANDEL,PIDILITIND
91,0.567567568,2021-05-20 09:15:00+05:30,UPL,MOTHERSUMI,ASTRAL,BHARATFORG,TORNTPHARM
92,0.775510204,2021-05-24 09:15:00+05:30,DIXON,ICICIGI,BAJAJFINSV,INDIAMART,BANDHANBNK
93,0.705882353,2021-05-25 09:15:00+05:30,BEL,ASTRAL,GRASIM,PNB,ICICIPRULI
94,0.775510204,2021-05-28 09:15:00+05:30,SYNGENE,NATIONALUM,TVSMOTOR,TITAN,HINDALCO
95,0.208333333,2021-06-01 09:15:00+05:30,SAIL,BANDHANBNK,STAR,M&MFIN,VEDL
96,0.539823009,2021-06-03 09:15:00+05:30,MOTHERSUMI,AUBANK,IDFCFIRSTB,JINDALSTEL,TATAPOWER
97,0.242857143,2021-06-08 09:15:00+05:30,IDEA,CADILAHC,GODREJPROP,ABFRL,GUJGASLTD
98,0.567567568,2021-06-11 09:15:00+05:30,IDEA,ADANIPORTS,ASTRAL,AARTIIND,DIXON
99,0.426229508,2021-06-14 09:15:00+05:30,ADANIENT,ADANIPORTS,IBULHSGFIN,COFORGE,IDEA
100,0.37007874,2021-06-16 09:15:00+05:30,JINDALSTEL,SAIL,IBULHSGFIN,NATIONALUM,TATASTEEL
101,0.06097561,2021-06-18 09:15:00+05:30,CHOLAFIN,BHEL,IDEA,SRTRANSFIN,LTI
102,0.2,2021-06-23 09:15:00+05:30,BEL,ADANIENT,NMDC,ADANIPORTS,DIXON
103,0.414634146,2021-06-24 09:15:00+05:30,LALPATHLAB,DIXON,IBULHSGFIN,GUJGASLTD,NMDC
104,0.348837209,2021-06-29 09:15:00+05:30,APOLLOTYRE,INDHOTEL,GUJGASLTD,IDEA,BANDHANBNK
105,0.673076923,2021-06-30 09:15:00+05:30,IDFCFIRSTB,MARICO,GODREJCP,L&TFH,PVR
106,0.689320388,2021-07-02 09:15:00+05:30,IDEA,GODREJCP,LTI,RAMCOCEM,BEL
107,0.74,2021-07-06 09:15:00+05:30,GRANULES,NAUKRI,IRCTC,NATIONALUM,SAIL
108,0.596330275,2021-07-08 09:15:00+05:30,BERGEPAINT,RBLBANK,GRANULES,INDHOTEL,CONCOR
109,0.438016529,2021-07-13 09:15:00+05:30,NAUKRI,SRTRANSFIN,ADANIENT,METROPOLIS,MPHASIS
110,0.657142857,2021-07-14 09:15:00+05:30,IEX,ABFRL,MGL,AUROPHARMA,IPCALAB
111,0.626168224,2021-07-15 09:15:00+05:30,MARICO,IBULHSGFIN,NATIONALUM,NAVINFLUOR,COROMANDEL
112,0.359375,2021-07-20 09:15:00+05:30,MCX,NATIONALUM,SAIL,IDEA,ABFRL
113,0.438016529,2021-07-23 09:15:00+05:30,ADANIENT,NAUKRI,MPHASIS,IEX,ADANIPORTS
114,0.689320388,2021-07-28 09:15:00+05:30,NAVINFLUOR,CANBK,NATIONALUM,INDIGO,INDIAMART
115,0.553571429,2021-07-29 09:15:00+05:30,APOLLOTYRE,PEL,BIOCON,UBL,MGL
116,0.308270677,2021-08-05 09:15:00+05:30,IDEA,COROMANDEL,APOLLOTYRE,BHEL,GRANULES
117,0.689320388,2021-08-09 09:15:00+05:30,IDEA,GUJGASLTD,ALKEM,SAIL,HINDALCO
118,0.5,2021-08-10 09:15:00+05:30,CANFINHOME,NATIONALUM,METROPOLIS,IDFCFIRSTB,IEX
119,0.06097561,2021-08-11 09:15:00+05:30,MANAPPURAM,IBULHSGFIN,STAR,ASTRAL,L&TFH
