,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
51,6.565217391,2020-03-13 09:15:00+05:30,IDFCFIRSTB,BRITANNIA,SYNGENE,M&MFIN,HDFCAMC
52,3.35,2020-03-16 09:15:00+05:30,GLENMARK,PVR,INDIGO,GUJGASLTD,SRTRANSFIN
53,6.909090909,2020-03-17 09:15:00+05:30,POWERGRID,MCX,INDUSINDBK,COALINDIA,IDFCFIRSTB
54,0.16,2020-03-18 09:15:00+05:30,ZEEL,ALKEM,MUTHOOTFIN,RBLBANK,HINDUNILVR
55,1.230769231,2020-03-19 09:15:00+05:30,HCLTECH,ICICIGI,UBL,INDUSINDBK,RBLBANK
56,0.474576271,2020-03-20 09:15:00+05:30,IBULHSGFIN,GAIL,PVR,PIIND,JUBLFOOD
57,0.183673469,2020-03-23 09:15:00+05:30,PETRONET,IBULHSGFIN,NAVINFLUOR,NMDC,TECHM
58,0.054545455,2020-03-24 09:15:00+05:30,TORNTPOWER,PIIND,INFY,MOTHERSUMI,NAUKRI
59,0.260869565,2020-03-25 09:15:00+05:30,GRASIM,METROPOLIS,GODREJPROP,UBL,MANAPPURAM
60,18.33333333,2020-03-26 09:15:00+05:30,MFSL,BANDHANBNK,DEEPAKNTR,GODREJPROP,NAVINFLUOR
61,0.757575758,2020-03-27 09:15:00+05:30,MCX,INDUSINDBK,IBULHSGFIN,PEL,SRTRANSFIN
62,5.444444444,2020-03-30 09:15:00+05:30,OFSS,NAM-INDIA,INDUSINDBK,IRCTC,MINDTREE
63,0.581818182,2020-03-31 09:15:00+05:30,DEEPAKNTR,VEDL,IPCALAB,WIPRO,ONGC
64,0.793814433,2020-04-01 09:15:00+05:30,DIXON,AARTIIND,SYNGENE,BOSCHLTD,IPCALAB
65,1.175,2020-04-03 09:15:00+05:30,AUROPHARMA,SUNTV,NAVINFLUOR,GLENMARK,BAJFINANCE
66,1.32,2020-04-06 09:15:00+05:30,INDUSINDBK,PFIZER,M&M,AXISBANK,DIXON
67,1.32,2020-04-07 09:15:00+05:30,INDUSINDBK,PFIZER,M&M,AXISBANK,DIXON
68,11.42857143,2020-04-08 09:15:00+05:30,JINDALSTEL,ASHOKLEY,BHARATFORG,M&M,HAL
69,1.071428571,2020-04-09 09:15:00+05:30,DEEPAKNTR,TATAMOTORS,MARUTI,CIPLA,SRTRANSFIN
70,0.12987013,2020-04-13 09:15:00+05:30,IDEA,GLENMARK,NAUKRI,AUROPHARMA,INFY
71,3.142857143,2020-04-14 09:15:00+05:30,MOTHERSUMI,UPL,PVR,MINDTREE,ESCORTS
72,3.142857143,2020-04-15 09:15:00+05:30,MOTHERSUMI,UPL,PVR,MINDTREE,ESCORTS
73,4.612903226,2020-04-16 09:15:00+05:30,BALKRISIND,GODREJPROP,VEDL,BANDHANBNK,TATACHEM
74,0.74,2020-04-17 09:15:00+05:30,COFORGE,JUBLFOOD,ICICIPRULI,M&MFIN,TRENT
75,1.175,2020-04-20 09:15:00+05:30,TATAMOTORS,GUJGASLTD,BEL,MPHASIS,ZEEL
76,1.383561644,2020-04-21 09:15:00+05:30,AUROPHARMA,GRANULES,INDUSTOWER,GLENMARK,DEEPAKNTR
77,0.348837209,2020-04-22 09:15:00+05:30,AUROPHARMA,SRTRANSFIN,ZEEL,GLENMARK,HEROMOTOCO
78,2.107142857,2020-04-23 09:15:00+05:30,BRITANNIA,PFIZER,GLENMARK,TRENT,COFORGE
79,2.411764706,2020-04-24 09:15:00+05:30,RBLBANK,STAR,BATAINDIA,TATACHEM,SRTRANSFIN
80,0.513043478,2020-04-27 09:15:00+05:30,HDFCAMC,NAM-INDIA,MCX,NAVINFLUOR,IRCTC
81,0.2,2020-04-28 09:15:00+05:30,COFORGE,UPL,TORNTPOWER,UBL,DLF
82,2.052631579,2020-04-29 09:15:00+05:30,BANDHANBNK,PVR,M&MFIN,COFORGE,CHOLAFIN
83,2.551020408,2020-04-30 09:15:00+05:30,ABFRL,ASHOKLEY,BHARATFORG,FEDERALBNK,APOLLOTYRE
84,0.462184874,2020-05-04 09:15:00+05:30,STAR,CUMMINSIND,SYNGENE,APOLLOHOSP,ONGC
85,0.270072993,2020-05-05 09:15:00+05:30,INDUSTOWER,INDIAMART,AARTIIND,M&M,DEEPAKNTR
86,3.142857143,2020-05-06 09:15:00+05:30,MANAPPURAM,COFORGE,CUB,LICHSGFIN,HEROMOTOCO
87,1.25974026,2020-05-07 09:15:00+05:30,JINDALSTEL,INDUSTOWER,M&MFIN,CANFINHOME,PNB
88,0.438016529,2020-05-08 09:15:00+05:30,NAM-INDIA,DEEPAKNTR,LICHSGFIN,IRCTC,UBL
89,0.95505618,2020-05-11 09:15:00+05:30,IDEA,FEDERALBNK,IGL,TVSMOTOR,ADANIENT
90,0.175675676,2020-05-12 09:15:00+05:30,UPL,ICICIGI,TCS,HCLTECH,GRANULES
91,0.308270677,2020-05-13 09:15:00+05:30,TATACHEM,AMBUJACEM,MPHASIS,INFY,RAMCOCEM
92,1.230769231,2020-05-14 09:15:00+05:30,BHEL,IBULHSGFIN,POLYCAB,SYNGENE,IDEA
93,0.912087912,2020-05-15 09:15:00+05:30,BEL,SAIL,HAL,NAVINFLUOR,RECLTD
94,0.080745342,2020-05-18 09:15:00+05:30,MCDOWELL-N,NAM-INDIA,MINDTREE,HCLTECH,PETRONET
95,0.74,2020-05-19 09:15:00+05:30,BHARTIARTL,ONGC,PVR,WIPRO,IDEA
96,1.52173913,2020-05-20 09:15:00+05:30,BHEL,BAJFINANCE,RELIANCE,BPCL,CUMMINSIND
97,1.485714286,2020-05-21 09:15:00+05:30,AMARAJABAT,IPCALAB,BERGEPAINT,STAR,HEROMOTOCO
98,2.222222222,2020-05-22 09:15:00+05:30,AMBUJACEM,COFORGE,ULTRACEMCO,ACC,ZEEL
99,1.25974026,2020-05-25 09:15:00+05:30,RAMCOCEM,ADANIENT,TITAN,COFORGE,JINDALSTEL
100,1.25974026,2020-05-26 09:15:00+05:30,RAMCOCEM,ADANIENT,TITAN,COFORGE,JINDALSTEL
101,0.596330275,2020-05-27 09:15:00+05:30,HINDALCO,UPL,SRTRANSFIN,APOLLOHOSP,COFORGE
102,1.25974026,2020-05-28 09:15:00+05:30,HAL,INDHOTEL,BHEL,BEL,MOTHERSUMI
103,1.558823529,2020-05-29 09:15:00+05:30,IDFCFIRSTB,IDEA,M&MFIN,ZEEL,NMDC
104,1.676923077,2020-06-01 09:15:00+05:30,IDEA,PVR,L&TFH,TRENT,PNB
105,3.833333333,2020-06-02 09:15:00+05:30,ZEEL,TVSMOTOR,TRENT,NAM-INDIA,AUROPHARMA
106,0.403225806,2020-06-03 09:15:00+05:30,INDIGO,IEX,SRTRANSFIN,GUJGASLTD,IBULHSGFIN
107,0.403225806,2020-06-04 09:15:00+05:30,SUNPHARMA,VEDL,IRCTC,HDFCAMC,BALKRISIND
108,1.485714286,2020-06-05 09:15:00+05:30,RECLTD,HINDALCO,CUMMINSIND,JINDALSTEL,UPL
109,0.891304348,2020-06-08 09:15:00+05:30,IDEA,NAM-INDIA,HINDPETRO,ASHOKLEY,CHOLAFIN
110,0.831578947,2020-06-09 09:15:00+05:30,DRREDDY,INDUSTOWER,ITC,CHOLAFIN,CADILAHC
111,0.251798561,2020-06-10 09:15:00+05:30,GRANULES,IDEA,INDUSINDBK,CADILAHC,PIIND
112,1.949152542,2020-06-11 09:15:00+05:30,CHOLAFIN,ABFRL,INDHOTEL,ADANIENT,PVR
113,2.411764706,2020-06-12 09:15:00+05:30,IDEA,GRANULES,INDUSTOWER,NMDC,HDFCAMC
114,0.513043478,2020-06-15 09:15:00+05:30,BHEL,COROMANDEL,MCDOWELL-N,APLLTD,M&M
115,0.380952381,2020-06-16 09:15:00+05:30,GRANULES,GODREJCP,GODREJPROP,APLLTD,IPCALAB
116,3.702702703,2020-06-17 09:15:00+05:30,OFSS,ZEEL,CANFINHOME,INDUSINDBK,RBLBANK
117,2.48,2020-06-18 09:15:00+05:30,BHEL,BEL,COFORGE,HAL,TATAMOTORS
118,0.581818182,2020-06-19 09:15:00+05:30,PEL,CUB,IBULHSGFIN,RAMCOCEM,DEEPAKNTR
119,0.870967742,2020-06-22 09:15:00+05:30,IBULHSGFIN,CHOLAFIN,RBLBANK,GLENMARK,AUBANK
120,0.45,2020-06-23 09:15:00+05:30,NAUKRI,NAM-INDIA,AUROPHARMA,AMBUJACEM,DIXON
121,1.289473684,2020-06-24 09:15:00+05:30,PAGEIND,BHEL,ESCORTS,TATAMOTORS,PVR
122,3.046511628,2020-06-25 09:15:00+05:30,AUBANK,ADANIENT,IBULHSGFIN,BANDHANBNK,DIXON
123,1.096385542,2020-06-26 09:15:00+05:30,COFORGE,MINDTREE,TATAPOWER,JINDALSTEL,INFY
124,0.2,2020-06-29 09:15:00+05:30,OFSS,NESTLEIND,GMRINFRA,LALPATHLAB,BALKRISIND
125,0.462184874,2020-06-30 09:15:00+05:30,GRANULES,SAIL,GUJGASLTD,HDFCLIFE,ACC
126,1.023255814,2020-07-01 09:15:00+05:30,IBULHSGFIN,ZEEL,BANDHANBNK,CHOLAFIN,L&TFH
127,0.757575758,2020-07-02 09:15:00+05:30,DIVISLAB,BANDHANBNK,NAM-INDIA,IOC,ONGC
128,0.673076923,2020-07-03 09:15:00+05:30,TATAMOTORS,ADANIPORTS,MINDTREE,PETRONET,BAJAJ-AUTO
129,1.351351351,2020-07-06 09:15:00+05:30,HAL,CANFINHOME,PFC,L&TFH,M&M
130,1.175,2020-07-07 09:15:00+05:30,COFORGE,HAL,SYNGENE,JUBLFOOD,ABFRL
131,0.596330275,2020-07-08 09:15:00+05:30,CANBK,SRTRANSFIN,BANKBARODA,LICHSGFIN,DIXON
132,0.933333333,2020-07-09 09:15:00+05:30,DIXON,IDEA,JINDALSTEL,NMDC,TATASTEEL
133,1.949152542,2020-07-10 09:15:00+05:30,CHOLAFIN,LTTS,BIOCON,HAL,TVSMOTOR
134,0.722772277,2020-07-13 09:15:00+05:30,GRANULES,DEEPAKNTR,BHARATFORG,TECHM,MUTHOOTFIN
135,0.657142857,2020-07-14 09:15:00+05:30,IEX,DEEPAKNTR,SBILIFE,IGL,MPHASIS
136,1.351351351,2020-07-15 09:15:00+05:30,WIPRO,GRANULES,APOLLOTYRE,TECHM,NAUKRI
137,1.806451613,2020-07-16 09:15:00+05:30,FEDERALBNK,LTI,BHEL,MUTHOOTFIN,INDIGO
138,2.222222222,2020-07-17 09:15:00+05:30,SYNGENE,HAL,STAR,HCLTECH,HAVELLS
139,1.071428571,2020-07-20 09:15:00+05:30,APLLTD,BRITANNIA,ADANIENT,INDHOTEL,DIXON
140,0.757575758,2020-07-21 09:15:00+05:30,MCX,IBULHSGFIN,PEL,DIXON,BPCL
141,1.0,2020-07-22 09:15:00+05:30,VEDL,GRANULES,MFSL,MANAPPURAM,MUTHOOTFIN
142,0.775510204,2020-07-23 09:15:00+05:30,BPCL,ABFRL,HINDPETRO,BIOCON,IOC
143,0.977272727,2020-07-24 09:15:00+05:30,GMRINFRA,RBLBANK,MCX,DEEPAKNTR,IBULHSGFIN
144,0.191780822,2020-07-27 09:15:00+05:30,MPHASIS,JINDALSTEL,PETRONET,DIVISLAB,AMBUJACEM
145,0.757575758,2020-07-28 09:15:00+05:30,AUBANK,M&M,M&MFIN,ESCORTS,JINDALSTEL
146,0.95505618,2020-07-29 09:15:00+05:30,COFORGE,PFC,RECLTD,SYNGENE,BHEL
147,1.047058824,2020-07-30 09:15:00+05:30,GLENMARK,GRANULES,INDIGO,INDIAMART,BALKRISIND
148,1.9,2020-07-31 09:15:00+05:30,DABUR,IPCALAB,TORNTPHARM,MFSL,PEL
149,1.071428571,2020-08-03 09:15:00+05:30,GRANULES,IPCALAB,DEEPAKNTR,TITAN,TATASTEEL
